scenario,round_id,runs,success_rate,ttft_ms_avg,total_latency_ms_avg,decode_tps_avg
long_generation,,1,1.0,6747.183,17413.216,96.006
multi_turn,1,1,1.0,4423.732,11439.254,72.981
multi_turn,2,1,1.0,5584.345,9977.843,116.308
multi_turn,3,1,1.0,8207.797,10189.712,258.336
multi_turn,4,1,1.0,6226.166,11278.881,101.134
multi_turn,5,1,1.0,8265.174,16902.346,59.279
short_chat,,1,1.0,5565.02,6566.19,95.888
