scenario,round_id,runs,success_rate,ttft_ms_avg,total_latency_ms_avg,decode_tps_avg
long_generation,,1,1.0,26566.828,46545.587,103.16
multi_turn,1,1,1.0,25953.844,36479.275,129.211
multi_turn,2,1,1.0,21435.185,32464.375,112.52
multi_turn,3,1,1.0,44953.322,54243.401,205.596
multi_turn,4,1,1.0,30080.981,39589.51,188.252
multi_turn,5,1,1.0,22642.816,34697.932,92.409
short_chat,,1,1.0,13319.208,18003.082,95.647
