scenario,round_id,runs,success_rate,ttft_ms_avg,total_latency_ms_avg,decode_tps_avg
long_generation,,1,1.0,53567.596,85609.642,67.443
multi_turn,1,1,1.0,33369.963,49578.704,86.188
multi_turn,2,1,1.0,40384.717,59539.319,76.483
multi_turn,3,1,1.0,40616.705,56545.376,101.264
multi_turn,4,1,1.0,64205.58,110940.085,29.315
multi_turn,5,1,1.0,47233.363,68967.067,64.508
short_chat,,1,1.0,28706.593,30372.699,501.769
